tabla,sexo,x,lx,dx,qx,px,mu,ex,fuente,qx_calculado,diferencia_qx
BEPS_2014,Hombres,36,972087,1765,0.001815,0.998185,,42.6,r0110_14,0.00181568,-6.8e-07
BEPS_2014,Hombres,37,970323,1832,0.001888,0.998112,,41.7,r0110_14,0.00188803,-3e-08
BEPS_2014,Hombres,38,968490,1904,0.001966,0.998034,,40.8,r0110_14,0.00196595,5e-08
BEPS_2014,Hombres,39,966586,1979,0.002048,0.997952,,39.9,r0110_14,0.00204741,5.9e-07
BEPS_2014,Hombres,40,964607,2061,0.002137,0.997863,,38.9,r0110_14,0.00213662,3.8e-07
BEPS_2014,Hombres,41,962546,2147,0.00223,0.99777,,38.0,r0110_14,0.00223054,-5.4e-07
BEPS_2014,Hombres,42,960399,2237,0.002329,0.997671,,37.1,r0110_14,0.00232924,-2.4e-07
BEPS_2014,Hombres,43,958162,2332,0.002434,0.997566,,36.2,r0110_14,0.00243383,1.7e-07
BEPS_2014,Hombres,44,955830,2498,0.002614,0.997386,,35.3,r0110_14,0.00261344,5.6e-07
BEPS_2014,Hombres,45,953331,2685,0.002817,0.997183,,34.4,r0110_14,0.00281644,5.6e-07
BEPS_2014,Hombres,46,950646,2891,0.003041,0.996959,,33.5,r0110_14,0.00304109,-9e-08
BEPS_2014,Hombres,47,947755,3113,0.003284,0.996716,,32.6,r0110_14,0.0032846,-6e-07
BEPS_2014,Hombres,48,944643,3355,0.003552,0.996448,,31.7,r0110_14,0.00355161,3.9e-07
BEPS_2014,Hombres,49,941287,3620,0.003846,0.996154,,30.8,r0110_14,0.0038458,2e-07
BEPS_2014,Hombres,50,937667,3906,0.004166,0.995834,,29.9,r0110_14,0.00416566,3.4e-07
BEPS_2014,Hombres,51,933761,4218,0.004517,0.995483,,29.0,r0110_14,0.00451722,-2.2e-07
BEPS_2014,Hombres,52,929543,4557,0.004902,0.995098,,28.2,r0110_14,0.00490241,-4.1e-07
BEPS_2014,Hombres,53,924986,4923,0.005322,0.994678,,27.3,r0110_14,0.00532224,-2.4e-07
BEPS_2014,Hombres,54,920063,5322,0.005784,0.994216,,26.4,r0110_14,0.00578439,-3.9e-07
BEPS_2014,Hombres,55,914741,5700,0.006231,0.993769,,25.6,r0110_14,0.00623127,-2.7e-07
BEPS_2014,Hombres,56,909041,6119,0.006731,0.993269,,24.7,r0110_14,0.00673127,-2.7e-07
BEPS_2014,Hombres,57,902922,6582,0.00729,0.99271,,23.9,r0110_14,0.00728967,3.3e-07
BEPS_2014,Hombres,58,896340,7094,0.007914,0.992086,,23.1,r0110_14,0.00791441,-4.1e-07
BEPS_2014,Hombres,59,889246,7658,0.008612,0.991388,,22.3,r0110_14,0.00861179,2.1e-07
BEPS_2014,Hombres,60,881588,8279,0.009392,0.990608,,21.5,r0110_14,0.00939101,9.9e-07
BEPS_2014,Hombres,61,873308,8962,0.010262,0.989738,,20.7,r0110_14,0.01026213,-1.3e-07
BEPS_2014,Hombres,62,864346,9711,0.011236,0.988764,,19.9,r0110_14,0.01123508,9.2e-07
BEPS_2014,Hombres,63,854635,10715,0.012537,0.987463,,19.1,r0110_14,0.01253752,-5.2e-07
BEPS_2014,Hombres,64,843920,11778,0.013956,0.986044,,18.3,r0110_14,0.0139563,-3e-07
BEPS_2014,Hombres,65,832142,12898,0.0155,0.9845,,17.6,r0110_14,0.01549976,2.4e-07
