country,country_code,continent,region,year,sex,age,mx,qx,px,lx,dx,source
Australia,36,Oceania,Australia/New Zealand,2023,both,63,0.00911107,0.009069752425384825,0.9909302475746151,93006.01318237596,843.5415136362274,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,64,0.00868722,0.008649649296817849,0.9913503507031821,92162.47166873972,797.1730582625094,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,65,0.00797158,0.007939933094072975,0.9920600669059271,91365.29861047721,725.4343580871877,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,66,0.00778192,0.007751758218840819,0.9922482417811592,90639.86425239002,702.6183126730805,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,67,0.00789455,0.00786351056134895,0.9921364894386511,89937.24593971694,707.2224833056022,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,68,0.00874371,0.008705650159820538,0.9912943498401795,89230.02345641135,776.8053679640977,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,69,0.00997922,0.009929674795344403,0.9900703252046555,88453.21808844726,878.3116902199564,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,70,0.01157113,0.01150456956498476,0.9884954304350152,87574.9063982273,1007.5116028054348,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,71,0.01278705,0.0127058150538081,0.9872941849461919,86567.39479542186,1099.90930796062,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,72,0.01502394,0.01491192208862789,0.9850880779113721,85467.48548746124,1274.484484699957,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,73,0.01587795,0.01575288821428896,0.984247111785711,84193.00100276129,1326.282933222017,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,74,0.01727076,0.01712289727532659,0.9828771027246734,82866.71806953926,1418.9183010481704,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,75,0.01955695,0.01936756475225915,0.9806324352477408,81447.7997684911,1577.4455359452893,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,76,0.02156413,0.021334104300712937,0.9786658956992871,79870.3542325458,1703.962467732021,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,77,0.02314281,0.02287807848819135,0.9771219215118087,78166.39176481379,1788.296845934124,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,78,0.0262988,0.025957474781113227,0.9740425252188868,76378.09491887965,1982.5824726862909,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,79,0.03114791,0.030670252862087233,0.9693297471379128,74395.51244619337,2281.7291785293087,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,80,0.03613806,0.0354966696118828,0.9645033303881172,72113.78326766405,2559.799139115193,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,81,0.0410022,0.040178496622884585,0.9598215033771154,69553.98412854887,2794.5745164170685,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,82,0.04656287,0.045503483604195365,0.9544965163958047,66759.4096121318,3037.7857007114017,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,83,0.05333407,0.05194875084306179,0.9480512491569382,63721.623911420385,3310.258763889666,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,84,0.06073711,0.058946975531488345,0.9410530244685117,60411.36514753073,3561.0672631753014,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,85,0.07137247,0.06891321675236901,0.931086783247631,56850.29788435543,3917.736900541331,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,86,0.08084816,0.07770692888999647,0.9222930711100035,52932.560983814095,4113.226752334644,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,87,0.09219589,0.08813313365222221,0.9118668663477778,48819.33423147944,4302.600908635484,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,88,0.10319997,0.0981361463218355,0.9018638536781645,44516.73332284396,4368.700655140745,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,89,0.12177572,0.11478660902010887,0.8852133909798912,40148.03266770321,4608.456528754207,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,90,0.13744858,0.12860995233859612,0.8713900476614038,35539.57613894901,4570.74319336414,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,91,0.1613473,0.14930252070086097,0.8506974792991391,30968.83294558487,4623.724821939691,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,92,0.18433536,0.16877935812933048,0.8312206418706696,26345.10812364518,4446.510438956643,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,93,0.20653519,0.18720316896464273,0.8127968310353573,21898.597684688535,4099.4868824554815,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,94,0.23741225,0.21222038987227318,0.7877796101277268,17799.11080223305,3777.3342338296875,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,95,0.26249412,0.23203960415154581,0.7679603958484542,14021.776568403366,3253.6074844337372,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,96,0.2942474,0.2565088664805722,0.7434911335194279,10768.169083969628,2762.1308458001904,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,97,0.32853236,0.28217976751673746,0.7178202324832625,8006.038238169438,2259.1420087767624,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,98,0.36585213,0.30927725816913165,0.6907227418308683,5746.896229392676,1777.384308809088,"United Nations, World Population Prospects 2024"
Australia,36,Oceania,Australia/New Zealand,2023,both,99,0.40623219,0.33765003368191165,0.6623499663180883,3969.5119205835886,1340.3058336857985,"United Nations, World Population Prospects 2024"
